zf_gene_id;zf11_gene;mouse_gene;zf10_gene
ENSDARG00000079572;plcd3b;Plcd3;plcd3b
ENSDARG00000057975;plcd4a;Plcd4;plcd4a
ENSDARG00000040684;plcd4b;Plcd4;plcd4b
ENSDARG00000100265;rhcgb;Rhcg;rhcgb
ENSDARG00000007080;rhcgl1;Rhcg;rhcgl1
ENSDARG00000003203;rhcga;Rhcg;rhcga
ENSDARG00000039162;rhebl1;Rhebl1;rhebl1
ENSDARG00000036171;rnasel3;Ang5;rnasel3
ENSDARG00000043196;rnasel2;Rnase1;rnasel2
ENSDARG00000076983;rnasel4;Ang5;rnasel4
ENSDARG00000040178;havcr1;Havcr1;havcr1
ENSDARG00000025012;tpi1a;Tpi1;tpi1a
ENSDARG00000041875;ube2v1;Ube2v1;ube2v1
ENSDARG00000056985;tpte;Tpte;tpte
ENSDARG00000039677;dsc2l;Dsc3;dsc2l
ENSDARG00000024865;dscama;Dscam;dscama
ENSDARG00000032623;rcan3;Rcan3;rcan3
ENSDARG00000040620;psmg1;Psmg1;psmg1
ENSDARG00000075650;vps26c;Vps26c;dscr3
ENSDARG00000038805;pigp;Pigp;pigp
ENSDARG00000061461;dsela;Dsel;dsela
ENSDARG00000056950;epyc;Epyc;epyc
ENSDARG00000014358;optc;Epyc;optc
ENSDARG00000044628;dtd1;Dtd1;dtd1
ENSDARG00000005356;tyro3;Tyro3;tyro3
ENSDARG00000077694;dtnba;Dtnb;dtnba
ENSDARG00000055115;dtnbp1a;Dtnbp1;dtnbp1a
ENSDARG00000076302;dtx4a;Dtx4;DTX4
ENSDARG00000075504;dtx3lb.2;Dtx3l;si:dkey-40c23.2
ENSDARG00000077607;dus2;Dus2;dus2
ENSDARG00000040490;dusp19a;Dusp19;dusp19a
ENSDARG00000060130;dusp3b;Dusp3;dusp3b
ENSDARG00000055552;dvl1b;Dvl1;dvl1b
ENSDARG00000015707;dvl3a;Dvl3;dvl3a
ENSDARG00000010266;igf2bp3;Igf2bp3;igf2bp3
ENSDARG00000038024;ift70;Ift70a1;flr
ENSDARG00000078386;dync1i2a;Dync1i2;dync1i2a
ENSDARG00000057635;dync2i2;Dync2i2;wdr34
ENSDARG00000058454;dynll1;Dynll1;dynll1
ENSDARG00000045909;dynlt1b;Dynlt1b;dynlt1
ENSDARG00000063570;dyrk1aa;Dyrk1a;dyrk1aa
ENSDARG00000070600;dyrk3;Dyrk3;DYRK3
ENSDARG00000100504;ppp1r27b;Ppp1r27;ppp1r27b
ENSDARG00000071025;dytn;Dytn;dytn
ENSDARG00000099161;dnaaf4;Dnaaf4;dnaaf4
ENSDARG00000005915;tcf3a;Tcf3;tcf3a
ENSDARG00000042977;nfil3;Nfil3;nfil3
ENSDARG00000069289;gabpa;Gabpa;gabpa
ENSDARG00000104431;slc1a3a;Slc1a3;slc1a3a
ENSDARG00000043148;slc1a3b;Slc1a3;slc1a3b
ENSDARG00000010096;slc1a6;Slc1a6;slc1a6
ENSDARG00000102453;slc1a2b;Slc1a2;slc1a2b
ENSDARG00000052138;slc1a2a;Slc1a2;slc1a2a
ENSDARG00000020212;slc1a1;Slc1a1;slc1a1
ENSDARG00000034940;slc1a7a;Slc1a7;slc1a7a
ENSDARG00000026248;slc1a7b;Slc1a7;slc1a7b
ENSDARG00000033160;nr1d1;Nr1d1;nr1d1
ENSDARG00000003165;nr2f6b;Nr2f6;nr2f6b
ENSDARG00000008032;sart3;Sart3;sart3
ENSDARG00000057465;gfpt1;Gfpt1;gfpt1
ENSDARG00000069196;ebf1b;Ebf1;ebf1b
ENSDARG00000099849;ebf1a;Ebf1;ebf1a
ENSDARG00000100244;ebf3a;Ebf3;ebf3a
ENSDARG00000010317;gpr183a;Gpr183;gpr183a
ENSDARG00000054980;ebna1bp2;Ebna1bp2;ebna1bp2
ENSDARG00000014496;trpv6;Trpv5;trpv6
ENSDARG00000102750;cdh1;Cdh1;cdh1
ENSDARG00000068021;ece2a;Ece2;ece2a
ENSDARG00000102142;ece2b;Ece2;ece2b
ENSDARG00000058815;ihhb;Ihh;ihhb
ENSDARG00000100397;pde6c;Pde6c;pde6c
ENSDARG00000033227;lect2.1;Lect2;lect2l
ENSDARG00000018192;ubr5;Ubr5;ubr5
ENSDARG00000042690;s1pr1;S1pr1;s1pr1
ENSDARG00000099840;lpar1;Lpar1;lpar1
ENSDARG00000036548;s1pr2;S1pr2;s1pr2
ENSDARG00000093413;edil3a;Edil3;edil3a
ENSDARG00000086669;edn3b;Edn3;edn3b
ENSDARG00000011876;ednraa;Ednra;ednraa
ENSDARG00000062262;ednrab;Ednra;ednrab
ENSDARG00000089334;ednrba;Ednrb;ednrba
ENSDARG00000069951;eef1a1b;Eef1a1;eef1a1b
ENSDARG00000102291;eef1da;Eef1d;eef1da
ENSDARG00000100371;eef2b;Eef2;eef2b
ENSDARG00000067958;sh3gl1a;Sh3gl1;sh3gl1a
ENSDARG00000020759;elf1;Elf1;ef1
ENSDARG00000079626;elf2b;Elf2;elf2b
ENSDARG00000061377;clxn;Clxn;efcab1
ENSDARG00000053636;cracr2b;Cracr2b;cracr2b
ENSDARG00000045758;cracr2ab;Cracr2a;cracr2ab
ENSDARG00000068231;cracr2aa;Cracr2a;CRACR2A
ENSDARG00000094324;efemp2a;Efemp2;efemp2a
ENSDARG00000009939;micu2;Micu2;micu2
ENSDARG00000074255;micu3b;Micu3;micu3b
ENSDARG00000018787;efna1b;Efna1;efna1b
ENSDARG00000031372;efna2a;Efna2;efna2a
ENSDARG00000098295;efna3b;Efna3;efna3b
ENSDARG00000020164;efnb2a;Efnb2;efnb2a
ENSDARG00000042277;efnb3b;Efnb3;efnb3b
ENSDARG00000079672;efl1;Efl1;eftud1
ENSDARG00000012378;naa35;Naa35;naa35
ENSDARG00000013847;egfra;Egfr;egfra
ENSDARG00000004632;egln1b;Egln1;egln1b
ENSDARG00000040362;ehd2b;Ehd2;ehd2b
ENSDARG00000029003;eif1axa;Eif1ax;eif1axa
ENSDARG00000012688;eif1;Eif1;eif1b
ENSDARG00000052178;eif2s1b;Eif2s1;eif2s1b
ENSDARG00000005827;eif2s1a;Eif2s1;eif2s1a
ENSDARG00000059654;eif3ba;Eif3b;eif3ba
ENSDARG00000102452;eif3ha;Eif3h;eif3ha
ENSDARG00000012603;eif3ja;Eif3j1;eif3ja
ENSDARG00000017445;eif3i;Eif3i;eif3i
ENSDARG00000016889;eif3g;Eif3g;eif3g
ENSDARG00000090697;eif3ea;Eif3e;eif3ea
ENSDARG00000002549;eif3eb;Eif3e;eif3eb
ENSDARG00000021257;eif3d;Eif3d;eif3d
ENSDARG00000016443;eif3c;Eif3c;eif3c
ENSDARG00000092115;eif4a1a;Eif4a1;eif4a1a
ENSDARG00000017439;eif4ba;Eif4b;eif4ba
ENSDARG00000077012;eif4ea;Eif4e;eif4ea
ENSDARG00000014565;eif4e1b;Eif4e1b;eif4e1b
ENSDARG00000038585;eif4e2;Eif4e2;eif4e2
ENSDARG00000057167;eif4g2b;Eif4g2;eif4g2b
ENSDARG00000031548;ephb3a;Ephb3;ephb3a
ENSDARG00000094729;apela;Apela;apela
ENSDARG00000007276;ela3l;Cela3a;ela3l
ENSDARG00000056765;ela2l;Ctrc;ela2l
ENSDARG00000014420;elavl3;Elavl3;elavl3
ENSDARG00000038695;elavl1a;Elavl1;elavl1
ENSDARG00000045639;elavl4;Elavl4;elavl4
ENSDARG00000019459;elf2a;Elf2;elf2a
ENSDARG00000074372;elfn1b;Elfn1;elfn1b
ENSDARG00000010300;traf3ip1;Traf3ip1;traf3ip1
ENSDARG00000011445;mideasa;Mideas;elmsan1a
ENSDARG00000053864;mideasb;Mideas;elmsan1b
ENSDARG00000069017;elnb;Eln;elnb
ENSDARG00000016391;calcoco1b;Calcoco1;calcoco1b
ENSDARG00000099960;elovl1a;Elovl1;elovl1a
ENSDARG00000027495;elovl4b;Elovl4;elovl4b
ENSDARG00000069279;elovl7a;Elovl7;elovl7a
ENSDARG00000013653;adgrl4;Adgrl4;adgrl4
ENSDARG00000077530;ahctf1;Ahctf1;ahctf1
ENSDARG00000012144;emc7b;Emc7;emc7
ENSDARG00000095774;emd;Emd;emd
ENSDARG00000039020;fbxo5;Fbxo5;fbxo5
ENSDARG00000061196;emilin2a;Emilin2;emilin2a
ENSDARG00000102178;emilin2b;Emilin2;emilin2b
ENSDARG00000000779;scfd1;Scfd1;scfd1
ENSDARG00000014321;en1a;En1;en1a
ENSDARG00000038868;en2b;En2;en2b
ENSDARG00000052775;opn3;Opn3;opn3
ENSDARG00000013628;cd164;Cd164;cd164
ENSDARG00000044204;endou;Endou;endou
ENSDARG00000098730;en1b;En1;en1b
ENSDARG00000026599;en2a;En2;en2a
ENSDARG00000101777;pdlim5a;Pdlim5;pdlim5a
ENSDARG00000022456;eno1a;Eno1;eno1a
ENSDARG00000014287;eno2;Eno2;eno2
ENSDARG00000053526;enpp7.1;Enpp7;enpp7.1
ENSDARG00000036944;ensaa;Ensa;ensaa
ENSDARG00000071406;tepsin;Tepsin;enthd2
ENSDARG00000035506;entpd2a.1;Entpd2;entpd2a.1
ENSDARG00000093659;entpd5b;Entpd5;entpd5b
ENSDARG00000006640;eomesa;Eomes;eomesa
ENSDARG00000104243;eomesb;Eomes;eomesb
ENSDARG00000104847;ptger1b;Ptger1;ptger1b
ENSDARG00000078605;ptger1a;Ptger1;ptger1a
ENSDARG00000011434;ptger2a;Ptger2;ptger2a
ENSDARG00000059236;ptger4a;Ptger4;ptger4a
ENSDARG00000035415;ptger4b;Ptger4;ptger4b
ENSDARG00000057671;epas1b;Epas1;epas1b
ENSDARG00000040087;epb41l4a;Epb41l4a;epb41l4a
ENSDARG00000013110;dmtn;Dmtn;dmtn
ENSDARG00000101579;epc1a;Epc1;epc1a
ENSDARG00000017354;epha2a;Epha2;epha2a
ENSDARG00000010767;epha4l;Epha4;epha4l
ENSDARG00000010411;epn1a;Epn1;epn1
ENSDARG00000055163;epoa;Epo;epoa
ENSDARG00000060494;eprs1;Eprs1;eprs
ENSDARG00000102128;eps8a;Eps8;eps8
ENSDARG00000057984;eps8l1a;Eps8l1;eps8l1
ENSDARG00000005704;eps8l3b;Eps8l3;eps8l3b
ENSDARG00000032866;erh;Erh;erh
ENSDARG00000101959;etv1;Etv1;etv1
ENSDARG00000004111;esr1;Esr1;esr1
ENSDARG00000034181;esr2b;Esr2;esr2b
ENSDARG00000016454;esr2a;Esr2;esr2a
ENSDARG00000044281;erbin;Erbin;erbb2ip
ENSDARG00000006202;erbb3a;Erbb3;erbb3a
ENSDARG00000063207;erbb4a;Erbb4;erbb4a
ENSDARG00000043976;etf1b;Etf1;etf1b
ENSDARG00000077304;erg;Erg;erg
ENSDARG00000051936;ergic2;Ergic2;ergic2
ENSDARG00000091058;sting1;Sting1;tmem173
ENSDARG00000070573;mapk3;Mapk3;mapk3
ENSDARG00000027552;mapk1;Mapk1;mapk1
ENSDARG00000032103;mapk6;Mapk6;mapk6
ENSDARG00000017681;mapk4;Mapk4;mapk4
ENSDARG00000023110;mapk7;Mapk7;mapk7
ENSDARG00000042021;mapk12a;Mapk12;mapk12a
ENSDARG00000100822;mapk15;Mapk15;mapk15
ENSDARG00000015228;ero1a;Ero1a;ero1a
ENSDARG00000103915;ero1b;Ero1b;ero1b
ENSDARG00000102640;pdia3;Pdia3;pdia3
ENSDARG00000069266;esrra;Esrra;esrra
ENSDARG00000100847;esrrb;Esrrb;esrrb
ENSDARG00000011696;esrrgb;Esrrg;esrrgb
ENSDARG00000104039;errfi1a;Errfi1;errfi1a
ENSDARG00000004861;esrrga;Esrrg;esrrga
ENSDARG00000077039;esama;Esam;esama
ENSDARG00000076639;esamb;Esam;esamb
ENSDARG00000001220;mycbp2;Mycbp2;mycbp2
ENSDARG00000036912;edn1;Edn1;edn1
ENSDARG00000074915;etaa1a;Etaa1;etaa1
ENSDARG00000042724;supt5h;Supt5;supt5h
ENSDARG00000059073;gsc;Gsc;gsc
ENSDARG00000102885;rsu1;Rsu1;rsu1
ENSDARG00000025641;gli2a;Gli2;gli2a
ENSDARG00000054823;id3;Id3;id3
ENSDARG00000070914;dusp6;Dusp6;dusp6
ENSDARG00000055493;hic1;Hic1;hic1
ENSDARG00000044752;p2rx4a;P2rx4;p2rx4a
ENSDARG00000019732;mtch2;Mtch2;mtch2
ENSDARG00000057698;ctsd;Ctsd;ctsd
ENSDARG00000031983;six4b;Six4;six4b
ENSDARG00000020609;snap25a;Snap25;snap25a
ENSDARG00000038225;nras;Nras;nras
ENSDARG00000000857;mapk14a;Mapk14;mapk14a
ENSDARG00000068213;fzd10;Fzd10;fzd10
ENSDARG00000004695;six4a;Six4;six4a
ENSDARG00000101744;elavl1b;Elavl1;hug
ENSDARG00000055554;wnt1;Wnt1;wnt1
ENSDARG00000070343;hoxc6a;Hoxc6;hoxc6a
ENSDARG00000034117;rarga;Rarg;rarga
ENSDARG00000070494;pdgfra;Pdgfra;pdgfra
ENSDARG00000017155;wnt10a;Wnt10a;wnt10a
ENSDARG00000052122;rag1;Rag1;rag1
ENSDARG00000021948;tncb;Tnc;tnc
ENSDARG00000030110;myod1;Myod1;myod1
ENSDARG00000052910;wnt8a;Wnt8a;wnt8a
ENSDARG00000041051;mid1ip1a;Mid1ip1;mid1ip1a
ENSDARG00000035127;rxrab;Rxra;rxrab
ENSDARG00000078954;rxrba;Rxrb;rxrba
ENSDARG00000015201;pcmt;Pcmt1;pcmt
ENSDARG00000029688;hsp70.1;Hspa1a;hsp70.1
ENSDARG00000014722;her1;Hes7;her1
ENSDARG00000040884;mxi1;Mxi1;mxi1
ENSDARG00000013477;gata1a;Gata1;gata1a
ENSDARG00000053829;pax9;Pax9;pax9
ENSDARG00000031756;mef2aa;Mef2a;mef2aa
ENSDARG00000040237;mef2d;Mef2d;mef2d
ENSDARG00000018902;pes;Pes1;pes
ENSDARG00000020625;jak1;Jak1;jak1
ENSDARG00000053248;inab;Ina;inab
ENSDARG00000069105;fgfr4;Fgfr4;fgfr4
ENSDARG00000070340;hoxc5a;Hoxc5;hoxc5a
ENSDARG00000059276;hoxd4a;Hoxd4;hoxd4a
ENSDARG00000008886;msx1b;Msx3;msx1b
ENSDARG00000056783;raraa;Rara;raraa
ENSDARG00000104651;msx2a;Msx2;msx2a
ENSDARG00000041117;wnt2;Wnt2;wnt2
ENSDARG00000071684;rx1;Rax;rx1
ENSDARG00000033443;mdm2;Mdm2;mdm2
ENSDARG00000056292;vsx1;Vsx1;vsx1
ENSDARG00000052094;notch1b;Notch1;notch1b
ENSDARG00000024829;tnn;Tnn;tnw
ENSDARG00000054030;hoxb5b;Hoxb5;hoxb5b
ENSDARG00000017565;itk;Itk;itk
ENSDARG00000010192;pax3a;Pax3;pax3a
ENSDARG00000022531;ntn1b;Ntn1;ntn1b
ENSDARG00000058961;ngfa;Ngf;ngfa
ENSDARG00000058008;six3a;Six3;six3a
ENSDARG00000023031;hoxa2b;Hoxa2;hoxa2b
ENSDARG00000008174;hoxb1a;Hoxb1;hoxb1a
ENSDARG00000052866;htt;Htt;htt
ENSDARG00000015674;msx3;Msx3;msx3
ENSDARG00000018303;etv4;Etv4;etv4
ENSDARG00000011235;otx2b;Otx2;otx2
ENSDARG00000013533;hoxb4a;Hoxb4;hoxb4a
ENSDARG00000025465;spon2a;Spon2;spon2a
ENSDARG00000002732;spon2b;Spon2;spon2b
ENSDARG00000037421;egr1;Egr1;egr1
ENSDARG00000103542;vegfaa;Vegfa;vegfaa
ENSDARG00000031894;lef1;Lef1;lef1
ENSDARG00000024894;tbx5a;Tbx5;tbx5a
ENSDARG00000018643;igf2a;Igf2;igf2a
ENSDARG00000061226;timp2a;Timp2;timp2a
ENSDARG00000040251;ctsk;Ctsk;ctsk
ENSDARG00000042667;klf2a;Klf2;klf2a
ENSDARG00000046143;prkab1b;Prkab1;prkab1b
ENSDARG00000007127;acat2;Acat2;acat2
ENSDARG00000015990;hcfc1a;Hcfc1;hcfc1a
ENSDARG00000007315;tmpoa;Tmpo;tmpoa
ENSDARG00000095743;sox11b;Sox11;sox11b
ENSDARG00000055630;foxh1;Foxh1;foxh1
ENSDARG00000011925;spns1;Spns1;spns1
ENSDARG00000013704;cers2a;Cers2;cers2a
ENSDARG00000061114;parga;Parg;PARG
ENSDARG00000019364;mbip;Mbip;mbip
ENSDARG00000079012;cbfa2t3;Cbfa2t3;cbfa2t3
ENSDARG00000069763;etv5a;Etv5;etv5a
ENSDARG00000008292;eif2s3;Eif2s3x;eif2s3
ENSDARG00000003845;chm;Chm;chm
ENSDARG00000070839;evi5b;Evi5;evi5b
ENSDARG00000030782;exoc3l2b;Exoc3l2;exoc3l2b
ENSDARG00000103432;exosc4;Exosc4;exosc4
ENSDARG00000070046;eny2;Eny2;eny2
ENSDARG00000010571;ezh2;Ezh2;ezh2
ENSDARG00000020944;ezra;Ezr;ezra
ENSDARG00000002362;ubald1a;Ubald1;ubald1a
ENSDARG00000017320;f11r.1;F11r;f11r.1
ENSDARG00000068114;f11r.2;F11r;f11r.2
ENSDARG00000036893;f13a1b;F13a1;f13a1b
ENSDARG00000045453;f13a1a.1;F13a1;f13a1a.1
ENSDARG00000068856;f2rl1.1;F2rl1;f2rl1.1
ENSDARG00000010097;f9a;F9;f9a
ENSDARG00000023648;idh3g;4933405O20Rik;idh3g
ENSDARG00000037009;banf1;Banf1;banf1
ENSDARG00000014137;picalmb;Picalm;picalmb
ENSDARG00000063573;vps41;Vps41;vps41
ENSDARG00000029011;xpnpep1;Xpnpep1;xpnpep1
ENSDARG00000024818;rilpl2;Rilpl2;rilpl2
ENSDARG00000045893;kctd15a;Kctd15;kctd15a
ENSDARG00000004280;seh1l;Seh1l;seh1l
ENSDARG00000100573;ckap2l;Ckap2l;ckap2l
ENSDARG00000041631;psme3ip1;Psme3ip1;fam192a
ENSDARG00000052341;sgcb;Sgcb;sgcb
ENSDARG00000077442;tubgcp5;Tubgcp5;tubgcp5
ENSDARG00000101377;ccdc142;Ccdc142;ccdc142
ENSDARG00000022970;tm9sf1;Tm9sf1;tm9sf1
ENSDARG00000024184;narf;Narf;narf
ENSDARG00000056741;senp3b;Senp3;senp3b
ENSDARG00000054458;slmapa;Slmap;slmapa
ENSDARG00000020841;rbm7;Rbm7;rbm7
ENSDARG00000058220;tada3l;Tada3;tada3l
ENSDARG00000060830;fam83hb;Fam83h;fam83hb
ENSDARG00000036754;hmgn3;Hmgn3;hmgn3
ENSDARG00000005606;paxip1;Paxip1;paxip1
ENSDARG00000037781;acss2;Acss2;acss2
ENSDARG00000008020;med31;Med31;med31
ENSDARG00000041869;tnfrsf19;Tnfrsf19;tnfrsf19
ENSDARG00000075721;zdhhc6;Zdhhc6;zdhhc6
ENSDARG00000010844;kras;Kras;kras
ENSDARG00000020647;trpc4apb;Trpc4ap;trpc4apb
ENSDARG00000039213;prpf38a;Prpf38a;prpf38a
ENSDARG00000038834;etfdh;Etfdh;etfdh
ENSDARG00000079684;taf6l;Taf6l;taf6l
ENSDARG00000020077;nol10;Nol10;nol10
ENSDARG00000059337;tgif1;Tgif1;tgif1
ENSDARG00000061864;hdlbpb;Hdlbp;hdlbpb
ENSDARG00000054063;arpc4;Arpc4;arpc4
ENSDARG00000035741;slc25a11;Slc25a11;slc25a11
ENSDARG00000011072;ddx11;Ddx11;ddx11
ENSDARG00000103856;ptcd3;Ptcd3;ptcd3
ENSDARG00000002830;trmt2a;Trmt2a;trmt2a
ENSDARG00000100209;prpf39;Prpf39;prpf39
ENSDARG00000052124;accs;Accs;accs
ENSDARG00000017315;larp7;Larp7;larp7
ENSDARG00000021991;erlin1;Erlin1;erlin1
ENSDARG00000056623;ptenb;Pten;ptenb
ENSDARG00000012788;foxa3;Foxa3;foxa3
ENSDARG00000019636;yif1a;Yif1a;yif1a
ENSDARG00000099339;pacsin3;Pacsin3;pacsin3
ENSDARG00000017423;patl1;Patl1;patl1
ENSDARG00000020621;ap1b1;Ap1b1;ap1b1
ENSDARG00000013802;pcid2;Pcid2;pcid2
ENSDARG00000014324;sh2d5;Sh2d5;sh2d5
ENSDARG00000074002;slc6a11a;Slc6a11;slc6a11a
ENSDARG00000070019;taf15;Taf15;taf15
ENSDARG00000018461;zgc:56095;Ftl1;zgc:56095
ENSDARG00000026767;nol11;Nol11;nol11
ENSDARG00000012432;fam76b;Fam76b;fam76b
ENSDARG00000060312;wdr62;Wdr62;wdr62
ENSDARG00000005482;rapgef2b;Rapgef2;rapgef2
ENSDARG00000059768;gpatch8;Gpatch8;gpatch8
ENSDARG00000020890;tmod4;Tmod4;tmod4
ENSDARG00000058000;cep350;Cep350;cep350
ENSDARG00000040163;prim1;Prim1;prim1
ENSDARG00000018494;smn1;Smn1;smn1
ENSDARG00000002710;ncl;Ncl;ncl
ENSDARG00000102195;zc3h7a;Zc3h7a;zc3h7a
ENSDARG00000086352;zp2.1;Zp1;zp2.1
ENSDARG00000021195;st8sia6;St8sia6;st8sia6
ENSDARG00000069619;atf7ip;Atf7ip;atf7ip
ENSDARG00000013729;srsf6a;Srsf6;srsf6a
ENSDARG00000032296;pomp;Pomp;pomp
ENSDARG00000045132;vdac1;Vdac1;vdac1
ENSDARG00000041570;mrpl39;Mrpl39;mrpl39
ENSDARG00000100419;ints1;Ints1;ints1
ENSDARG00000052139;notch3;Notch3;notch3
ENSDARG00000020334;ptpn11a;Ptpn11;ptpn11a
ENSDARG00000028321;synj2bp;Synj2bp;synj2bp
ENSDARG00000034734;med6;Med6;med6
ENSDARG00000060113;znf395a;Zfp395;znf395a
ENSDARG00000069977;myg1;Myg1;myg1
ENSDARG00000039887;c1qbp;C1qbp;c1qbp
ENSDARG00000013931;eif3m;Eif3m;eif3m
ENSDARG00000074335;boc;Boc;boc
ENSDARG00000035152;ap2b1;Ap2b1;ap2b1
ENSDARG00000000631;ptpn4a;Ptpn4;ptpn4a
ENSDARG00000071562;mtus1a;Mtus1;mtus1a
ENSDARG00000036781;haus2;Haus2;si:dkey-170l10.1
ENSDARG00000055760;srm;Srm;srm
ENSDARG00000057414;phb;Phb1;phb
ENSDARG00000052856;khdrbs1a;Khdrbs1;khdrbs1a
ENSDARG00000006408;hmgb3b;Hmgb3;hmgb3b
ENSDARG00000057910;mrps34;Mrps34;mrps34
ENSDARG00000028539;morc2;Morc2b;morc2
ENSDARG00000010381;rnf2;Rnf2;rnf2
ENSDARG00000011462;otub1b;Otub1;otub1b
ENSDARG00000029615;zgc:77056;1110059G10Rik;zgc:77056
ENSDARG00000076568;sec61b;Sec61b;sec61b
ENSDARG00000010108;bri3bp;Bri3bp;bri3bp
ENSDARG00000061413;sec23ip;Sec23ip;sec23ip
ENSDARG00000075824;virma;Virma;virma
ENSDARG00000032373;rnf145b;Rnf145;rnf145b
ENSDARG00000042623;acbd3;Acbd3;acbd3
ENSDARG00000093864;wee1;Wee1;wee1
ENSDARG00000027355;slc25a4;Slc25a4;slc25a4
ENSDARG00000099572;hmgn2;Hmgn2;hmgn2
ENSDARG00000089303;wu:fa25f02;1810055G02Rik;BX572619.1
ENSDARG00000073716;cpxm1a;Cpxm1;cpxm1a
ENSDARG00000098375;polr1a;Polr1a;polr1a
ENSDARG00000098240;meis2a;Meis2;meis2a
ENSDARG00000092693;tpt1;Tpt1;tpt1
ENSDARG00000009134;hlx1;Hlx;hlx1
ENSDARG00000071558;fblim1;Fblim1;fblim1
ENSDARG00000063663;clp1;Clp1;clp1
ENSDARG00000010487;sae1;Sae1;sae1
ENSDARG00000011609;foxk2b;Foxk2;ENSDARG00000011609
ENSDARG00000100129;brd3b;Brd3;brd3b
ENSDARG00000075041;fmnl2b;Fmnl2;fmnl2b
ENSDARG00000098874;exoc6b;Exoc6b;exoc6b
ENSDARG00000054186;ncs1b;Ncs1;ncs1b
ENSDARG00000058444;snx6;Snx6;snx6
ENSDARG00000039828;zp3b;Zp3;zp3b
ENSDARG00000031819;eif4ebp2;Eif4ebp2;eif4ebp2
ENSDARG00000006609;map2k2a;Map2k2;map2k2a
ENSDARG00000073893;dnase2;Dnase2a;dnase2
ENSDARG00000092610;lamp1b;Lamp1;lamp1
ENSDARG00000008835;si:dkey-46g23.5;Pzp;ENSDARG00000008835
ENSDARG00000025338;hagh;Hagh;hagh
ENSDARG00000076796;dlg3;Dlg3;dlg3
ENSDARG00000024090;dnajc4;Dnajc4;dnajc4
ENSDARG00000102701;eva1ba;Eva1b;eva1ba
ENSDARG00000088091;pfn1;Pfn1;pfn1
ENSDARG00000057556;rpl17;Gm6133;rpl17
ENSDARG00000013150;dhx16;Dhx16;dhx16
ENSDARG00000038608;sdhc;Sdhc;sdhc
ENSDARG00000009978;icn;S100a6;icn
ENSDARG00000002344;tubb4b;Tubb4b;tubb4b
ENSDARG00000058939;b4galnt3b;B4galnt3;b4galnt3b
ENSDARG00000024844;max;Max;max
ENSDARG00000070390;flad1;Flad1;flad1
ENSDARG00000074758;csde1;Csde1;csde1
ENSDARG00000036629;rps14;Rps14;rps14
ENSDARG00000075334;arhgap32a;Arhgap32;arhgap32a
ENSDARG00000061145;gfod2;Gfod2;gfod2
ENSDARG00000045230;cox6b1;Cox6b1;cox6b1
ENSDARG00000104760;si:ch211-1i11.3;Map3k6;ENSDARG00000104760
ENSDARG00000053087;mthfr;Mthfr;mthfr
ENSDARG00000099329;macroh2a1;Macroh2a1;h2afy
ENSDARG00000025581;rpl10;Rpl10l;rpl10
ENSDARG00000035871;rpl30;Rpl30;rpl30
ENSDARG00000021864;rplp1;Rplp1;rplp1
ENSDARG00000020454;psmd8;Psmd8;psmd8
ENSDARG00000009212;ppiaa;Ppia;ppiaa
ENSDARG00000014646;aoc2;Aoc3;aoc2
ENSDARG00000028119;sumo3a;Sumo3;sumo3a
ENSDARG00000054172;pgrmc1;Pgrmc1;pgrmc1
ENSDARG00000009313;napsa;Napsa;ENSDARG00000009313
ENSDARG00000062055;rnf38;Rnf38;rnf38
ENSDARG00000045530;si:ch211-244b2.4;Zc3hav1;si:ch211-244b2.4
ENSDARG00000036875;rps12;Rps12;rps12
ENSDARG00000021252;cct6a;Cct6b;cct6a
ENSDARG00000039576;fstl1b;Fstl1;fstl1b
ENSDARG00000038954;ctnnbip1;Ctnnbip1;ctnnbip1
ENSDARG00000067717;tomm7;Tomm7;tomm7
ENSDARG00000053950;lin37;Lin37;lin37
ENSDARG00000055360;llph;Llph;llph
ENSDARG00000078497;timeless;Timeless;timeless
ENSDARG00000062590;pleca;Plec;pleca
ENSDARG00000092787;si:dkey-88p24.11;Dmac1;si:dkey-88p24.11
ENSDARG00000098761;rgs2;Rgs2;rgs2
ENSDARG00000077093;scaf4a;Scaf4;scaf4a
ENSDARG00000075083;prkdc;Prkdc;prkdc
ENSDARG00000010244;rpl22l1;Rpl22l1;rpl22l1
ENSDARG00000041182;rpl4;Rpl4;rpl4
ENSDARG00000036830;krt91;Krt12;krt17
ENSDARG00000055481;atf7b;Atf7;atf7b
ENSDARG00000028688;exosc2;Exosc2;exosc2
ENSDARG00000045159;zdhhc4;Zdhhc4;zdhhc4
ENSDARG00000042027;prrx1b;Prrx1;prrx1b
ENSDARG00000006601;kaznb;Kazn;kaznb
ENSDARG00000054793;emc10;Emc10;emc10
ENSDARG00000059298;spcs1;Spcs1;spcs1
ENSDARG00000076066;marchf6;Marchf6;march6
ENSDARG00000053293;ftr14;Trim80;ftr14
ENSDARG00000029533;rpl18;Rpl18;rpl18
ENSDARG00000015793;creb3l1;Creb3l1;creb3l1
ENSDARG00000061600;cemip2;Cemip2;tmem2
ENSDARG00000061177;mov10b.1;Mov10;mov10b.1
ENSDARG00000054307;zgc:77151;Arid5b;zgc:77151
ENSDARG00000075795;nol7;Nol7;nol7
ENSDARG00000070393;coq10a;Coq10a;ENSDARG00000070393
